Question,Answer,Category,Difficulty
What is overfitting in machine learning? (Q1775),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is the use of CSS? (Q1776),CSS is used to style and layout web pages.,General,Easy
Define a firewall. (Q1777),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Difference between frontend and backend? (Q1778),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is a web framework? (Q1779),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is a primary key in a database? (Q1780),A primary key uniquely identifies each record in a table.,General,Easy
Explain normalization in databases. (Q1781),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is overfitting in machine learning? (Q1782),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is the use of CSS? (Q1783),CSS is used to style and layout web pages.,General,Easy
What is a neural network? (Q1784),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Define a firewall. (Q1785),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Explain the concept of encryption. (Q1786),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is SQL used for? (Q1787),SQL is used for managing and manipulating relational databases.,Databases,Easy
What are data types in programming? (Q1788),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
Define a firewall. (Q1789),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is a variable in programming? (Q1790),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
Explain the concept of recursion. (Q1791),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is SQL used for? (Q1792),SQL is used for managing and manipulating relational databases.,Databases,Easy
Explain the concept of encryption. (Q1793),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is overfitting in machine learning? (Q1794),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
Difference between supervised and unsupervised learning? (Q1795),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
Difference between frontend and backend? (Q1796),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is HTML? (Q1797),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is phishing? (Q1798),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is overfitting in machine learning? (Q1799),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
Explain normalization in databases. (Q1800),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is phishing? (Q1801),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is a variable in programming? (Q1802),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
